company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
GAIL,2019-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2020-03-01 00:00:00,+,-,+,Mixed
GAIL,2021-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2022-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2023-03-01 00:00:00,+,-,+,Mixed
GAIL,2024-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2013-03-01 00:00:00,+,-,+,Mixed
GODREJCP,2014-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2015-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2016-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2017-03-01 00:00:00,+,-,+,Mixed
GODREJCP,2018-03-01 00:00:00,+,-,-,Reinvestor
GODREJCP,2019-03-01 00:00:00,+,+,-,Liquidating Assets
